Zuse Z3 Completed,05/12,1941
ENIAC Unveiled,02/15,1946
Manchester Baby Runs First Program,06/21,1948
IBM Announces System/360,04/07,1964
Engelbart Demonstrates NLS,12/09,1968
ARPANET Packet Switches Connect,11/21,1969
Intel Releases 4004,11/15,1971
Intel Releases 80486DX,04/10,1989
Tim Berners-Lee Submits WorldWideWeb Proposal,11/12,1990
Mosaic Browser Launched,01/23,1993
Microsoft Releases Windows 95,08/24,1995
Google Founded,09/04,1998
Sony Releases PlayStation 2,03/04,2000
AMD Releases 1GHz Athlon,03/06,2000
Intel Releases 1GHz Pentium III,03/08,2000
IBM Delivers ASCI White Supercomputer,06/29,2000
SCO Sues IBM,03/06,2003
Intel Releases Pentium M,03/12,2003
Google Announces Gmail,04/01,2004
Nvidia Releases GeForce 6800,04/14,2004
Ubuntu First Released,10/20,2004
Firefox 1.0 Released,11/09,2004
Nintendo Releases DS,11/21,2004
Apple Releases Mac OS X Tiger,04/29,2005
Nokia Announces 770,05/25,2005
AMD Releases Athlon 64 X2,05/31,2005
Apple Announces Intel Transition,06/06,2005
Apple Introduces iPhone,01/09,2007
Asus Announces Eee PC,06/05,2007
Apple Releases Mac OS X Leopard,10/26,2007
AMD Releases Phenom,11/19,2007
Bitcoin Released,01/03,2009
Apple Releases Original iPad,04/06,2010
Apple Releases iPhone 4,06/24,2010
Raspberry Pi Released,02/29,2012
TDK Demonstrates 2TB Hard Drive,10/04,2012
Windows 10 Released,07/29,2015
AlphaGo Beats Professional Opponent,10/15,2015
AMD Launches Ryzen,03/02,2017
Nintendo Releases Switch,03/03,2017
Lexar Announces 1TB SD Card,01/09,2019
Google Claims Quantum Supremacy,09/20,2019
